contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AAPL260302C00295000,2026-02-24 20:53:42+00:00,295.0,0.03,6.0,133,272.345,28.82,0.04,6.004,c
AAPL260302C00300000,2026-02-25 17:40:17+00:00,300.0,0.01,3.0,270,274.07,27.53,0.01,5.139,c
AAPL260302C00305000,2026-02-25 18:57:36+00:00,305.0,0.05,2.0,42,274.685,27.63,0.05,5.085,c
AAPL260302P00190000,2026-02-17 14:42:55+00:00,190.0,0.05,,6,263.61,30.54,1.1,13.262,p
AAPL260302P00195000,2026-02-19 15:15:06+00:00,195.0,0.03,,1,263.22,29.69,0.51,11.24,p
AAPL260302P00200000,2026-02-20 14:30:00+00:00,200.0,0.03,1.0,1,258.75,30.61,0.34,10.271,p
AAPL260302P00215000,2026-02-19 20:52:50+00:00,215.0,0.04,,14,261.08,30.38,0.38,11.005,p
AAPL260302P00220000,2026-02-20 17:09:17+00:00,220.0,0.05,1.0,9,263.3,28.9,0.12,10.16,p
AAPL260302P00225000,2026-02-24 20:21:35+00:00,225.0,0.03,16.0,149,271.995,28.86,0.56,6.027,p
AAPL260302P00230000,2026-02-25 14:30:00+00:00,230.0,0.04,1.0,161,272.16,28.29,0.03,5.271,p
AAPL260302P00232500,2026-02-24 17:19:07+00:00,232.5,0.05,1.0,26,272.455,28.49,0.04,6.153,p
AAPL260302P00235000,2026-02-25 18:46:45+00:00,235.0,0.04,4.0,25,274.52,27.6,0.03,5.093,p
AAPL260302P00237500,2026-02-25 18:56:05+00:00,237.5,0.05,3.0,61,274.664,27.64,0.04,5.086,p
AAPL260302P00240000,2026-02-24 14:47:08+00:00,240.0,0.08,3.0,101,274.52,28.56,0.02,6.259,p
AAPL260302P00242500,2026-02-25 15:18:17+00:00,242.5,0.06,2.0,133,273.34,27.65,0.04,5.237,p
AAPL260302P00245000,2026-02-25 19:17:27+00:00,245.0,0.05,16.0,138,274.79,27.61,0.02,5.071,p
AAPL260302P00247500,2026-02-25 18:08:18+00:00,247.5,0.08,106.0,162,274.13,27.54,0.04,5.119,p
AAPL260302P00250000,2026-02-25 19:17:46+00:00,250.0,0.09,97.0,504,274.815,27.58,0.02,5.071,p
AAPL260302P00252500,2026-02-25 17:07:49+00:00,252.5,0.16,46.0,110,273.415,27.44,0.05,5.161,p
AAPL260302P00255000,2026-02-25 19:17:27+00:00,255.0,0.18,78.0,913,274.79,27.61,0.02,5.071,p
AAPL260302P00257500,2026-02-25 19:17:46+00:00,257.5,0.24,17.0,137,274.815,27.58,0.05,5.071,p
AAPL260302P00260000,2026-02-25 19:22:15+00:00,260.0,0.29,604.0,2710,274.5,27.57,0.01,5.068,p
AAPL260302P00262500,2026-02-25 19:08:43+00:00,262.5,0.41,192.0,644,274.68,27.62,0.05,5.077,p
AAPL260302P00265000,2026-02-25 19:15:50+00:00,265.0,0.58,317.0,500,274.91,27.64,0.07,5.072,p
AAPL260302P00267500,2026-02-25 19:19:46+00:00,267.5,0.86,894.0,281,274.521,27.6,0.06,5.07,p
AAPL260302P00270000,2026-02-25 19:19:01+00:00,270.0,1.24,1145.0,778,274.67,27.59,0.06,5.07,p
AAPL260302P00272500,2026-02-25 19:17:53+00:00,272.5,1.92,972.0,298,274.815,27.58,0.07,5.071,p
AAPL260302P00275000,2026-02-25 19:21:54+00:00,275.0,2.94,372.0,216,274.5,27.57,0.09,5.068,p
