contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN280121C00125000,2026-03-04 17:53:40+00:00,125.0,106.5,1.0,174,215.59,35.27,104.6,108.0,3.4,688.129,c
AMZN280121C00130000,2026-03-03 14:30:06+00:00,130.0,96.0,1.0,260,203.683,40.87,102.3,104.5,2.2,689.271,c
AMZN280121C00135000,2026-02-17 14:58:16+00:00,135.0,83.3,2.0,59,210.085,34.72,98.35,101.5,3.15,703.251,c
AMZN280121C00140000,2026-02-26 15:11:47+00:00,140.0,89.92,1.0,312,209.72,35.0,94.0,98.5,4.5,694.242,c
AMZN280121C00145000,2026-02-27 17:40:16+00:00,145.0,86.5,1.0,164,207.894,35.36,90.0,93.1,3.1,693.139,c
AMZN280121C00150000,2026-03-04 15:48:33+00:00,150.0,88.44,11.0,1045,215.91,35.43,86.5,91.5,5.0,688.216,c
AMZN280121C00155000,2026-03-02 20:04:29+00:00,155.0,79.0,1.0,102,208.54,36.69,83.5,88.0,4.5,690.039,c
AMZN280121C00160000,2026-03-04 17:00:25+00:00,160.0,81.02,3.0,388,215.035,34.95,80.25,83.45,3.2,688.166,c
AMZN280121C00165000,2026-03-04 18:29:01+00:00,165.0,78.3,3.0,196,216.03,35.55,78.25,79.65,1.4,688.105,c
AMZN280121C00170000,2026-03-04 18:29:01+00:00,170.0,75.55,14.0,637,216.03,35.55,74.9,75.95,1.05,688.105,c
AMZN280121C00175000,2026-03-04 16:34:59+00:00,175.0,72.41,5.0,257,215.69,35.07,70.5,73.1,2.6,688.184,c
AMZN280121C00180000,2026-03-04 17:05:31+00:00,180.0,69.4,11.0,1056,215.52,34.8,69.0,70.0,1.0,688.163,c
AMZN280121C00185000,2026-03-04 18:11:43+00:00,185.0,66.5,2.0,410,215.6,35.42,65.2,69.5,4.3,688.117,c
AMZN280121C00190000,2026-03-04 17:44:26+00:00,190.0,63.24,6.0,700,215.01,35.28,64.25,64.7,0.45,688.136,c
AMZN280121C00195000,2026-03-04 17:53:22+00:00,195.0,60.95,4.0,384,215.59,35.27,61.6,62.0,0.4,688.13,c
AMZN280121C00200000,2026-03-04 18:34:39+00:00,200.0,59.0,119.0,4765,216.55,35.41,58.9,59.35,0.45,688.101,c
AMZN280121C00210000,2026-03-04 18:16:53+00:00,210.0,53.9,91.0,2406,215.88,35.47,53.95,54.45,0.5,688.113,c
